Gene Symbol	Name	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome
SRSF2	serine/arginine-rich splicing factor 2	yes		"MDS, CLL"		
SRSF3	serine/arginine-rich splicing factor 3	yes		follicular lymphoma		
SS18	"synovial sarcoma translocation, chromosome 18"	yes		synovial sarcoma		
SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	yes		synovial sarcoma		
SSX1	"synovial sarcoma, X breakpoint 1"	yes		synovial sarcoma		
SSX2	"synovial sarcoma, X breakpoint 2"	yes		synovial sarcoma		
SSX4	"synovial sarcoma, X breakpoint 4"	yes		synovial sarcoma		
STAG1	stromal antigen 1	yes		"colorectal cancer, AML"		
STAG2	stromal antigen 2	yes		"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms"		
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	yes	yes	T-cell large granular lymphocytic leukaemia	paediatric large granular lymphocytic leukaemia	
STAT5B	signal transducer and activator of transcription 5B	yes		"large granular lymphocytic leukaemia, skin basal cell, APL"		
STAT6	"signal transducer and activator of transcription 6, interleukin-4 induced"	yes		"solitary fibrous tumour, meningeal haemangiopericytoma"		
STIL	SCL/TAL1 interrupting locus	yes		T-ALL		
STK11	serine/threonine kinase 11 gene (LKB1)	yes	yes	"NSCLC, pancreatic"	"jejunal hamartoma, ovarian, testicular, pancreatic"	Peutz-Jeghers syndrome
STRN	"striatin, calmodulin binding protein"	yes		"anaplastic thyroid, papillary thyroid, lung"		
SUFU	suppressor of fused homolog (Drosophila)	yes	yes	medulloblastoma	medulloblastoma	medulloblastoma predisposition
SUZ12	suppressor of zeste 12 homolog (Drosophila)	yes		endometrial stromal tumour		
SYK	spleen tyrosine kinase	yes		"MDS, peripheral T-cell lymphoma"		
TAF15	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa"	yes		"extraskeletal myxoid chondrosarcoma, ALL"		
TAL1	T-cell acute lymphocytic leukemia 1 (SCL)	yes		lymphoblastic leukaemia/biphasic		
TAL2	T-cell acute lymphocytic leukemia 2	yes		T-ALL		
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	yes		"splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma"		
TBX3	T-box 3	yes		"breast, large intestine, skin"		
TCEA1	"transcription elongation factor A (SII), 1"	yes		salivary adenoma		
TCF12	"transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)"	yes		extraskeletal myxoid chondrosarcoma		
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	yes		pre B-ALL		
TCF7L2	transcription factor 7-like 2	yes		colorectal		
TCL1A	T-cell leukemia/lymphoma 1A	yes		T-CLL		
TEC	tec protein tyrosine kinase	yes		myxoid chondrosarcoma		
TENT5C	"family with sequence similarity 46, member C"	yes		MM		
TERT	telomerase reverse transcriptase	yes	yes	"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types"	melanoma	
TET1	tet methylcytosine dioxygenase 1	yes		AML		
TET2	tet oncogene family member 2	yes		MDS		
TFE3	transcription factor binding to IGHM enhancer 3	yes		"papillary renal, alveolar soft part sarcoma, renal"		
TFEB	transcription factor EB	yes		renal cell carcinoma (childhood epithelioid)		
TFG	TRK-fused gene	yes		"papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma"		
TFPT	TCF3 (E2A) fusion partner (in childhood leukaemia)	yes		pre-B ALL		
TFRC	"transferrin receptor (p90, CD71)"	yes		NHL		
TGFBR2	transforming growth factor beta receptor II	yes	yes	"head and neck, colorectal"	colorectal	Hereditary Nonpolyposis Colorectal Cancer type 6
THRAP3	thyroid hormone receptor associated protein 3 (TRAP150)	yes		aneurysmal bone cyst		
TLX1	"T-cell leukemia, homeobox 1 (HOX11)"	yes		T-ALL		
TLX3	"T-cell leukemia, homeobox 3 (HOX11L2)"	yes		T-ALL		
TMEM127	transmembrane protein 127		yes		"pheochromocytoma, renal cell carcinoma"	
TMPRSS2	"transmembrane protease, serine 2"	yes		prostate		
TNC	tenascin C	yes		"SCC, melanoma"		
TNFAIP3	"tumor necrosis factor, alpha-induced protein 3"	yes		"marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL"		
TNFRSF14	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"	yes		follicular lymphoma		
TNFRSF17	"tumor necrosis factor receptor superfamily, member 17"	yes		intestinal T-cell lymphoma		
TOP1	topoisomerase (DNA) I	yes		AML*		
TP53	tumor protein p53	yes	yes	"breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types"	"breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types"	Li-Fraumeni syndrome
TP63	tumor protein p63	yes	yes	"HNSCC, DLBCL"	NSCLC	
TPM3	tropomyosin 3	yes		"papillary thyroid, ALCL, NSCLC, Spitzoid tumour"		
TPM4	tropomyosin 4	yes		ALCL		
TPR	translocated promoter region	yes		"papillary thyroid, NSCLC"		
TRA	T cell receptor alpha locus	yes		T-ALL		
TRAF7	tumour necrosis factor receptor-associated factor 7	yes		meningioma		
TRB	T cell receptor beta locus	yes		T-ALL		
TRD	T cell receptor delta locus	yes		T-cell leukaemia		
TRIM24	tripartite motif containing 24	yes		APL		
TRIM27	tripartite motif-containing 27	yes		papillary thyroid		
TRIM33	"tripartite motif-containing 33 (PTC7,TIF1G)"	yes		papillary thyroid		
TRIP11	thyroid hormone receptor interactor 11	yes		AML		
TRRAP	transformation/transcription domain-associated protein	yes		melanoma		
TSC1	tuberous sclerosis 1 gene	yes	yes	"renal cell carcinoma, bladder carcinoma"	"hamartoma, renal cell carcinoma, tuberous sclerosis tuber"	Tuberous sclerosis 1
TSC2	tuberous sclerosis 2 gene	yes	yes	"pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC"	"hamartoma, renal cell carcinoma, tuberous sclerosis tuber"	Tuberous sclerosis 2
TSHR	thyroid stimulating hormone receptor	yes	yes	toxic thyroid adenoma	thyroid adenoma	
U2AF1	U2 small nuclear RNA auxiliary factor 1	yes		"CLL, MDS"		
UBR5	ubiquitin protein ligase E3 component n-recognin 5	yes		"mantle cell lymphoma, gastric, colorectal"		
USP44	ubiquitin specific peptidase 44	yes		"lung cancer, colon cancer"		
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	yes		aneurysmal bone cyst		
USP8	ubiquitin specific peptidase 8	yes		corticotroph adenoma		
VAV1	vav guanine nucleotide exchange factor 1	yes		T-cell lymphoma		
VHL	von Hippel-Lindau syndrome gene	yes	yes	"renal, haemangioma, pheochromocytoma"	"renal, haemangioma, pheochromocytoma"	Von Hippel-Lindau syndrome
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A	yes		colorectal		
WAS	Wiskott-Aldrich syndrome		yes		lymphoma	Wiskott-Aldrich syndrome
WDCP	chromosome 2 open reading frame 44	yes		colorectal		
WIF1	WNT inhibitory factor 1	yes		pleomorphic salivary gland adenoma		
WNK2	WNK lysine deficient protein kinase 2	yes		gastric cancer		
WRN	Werner syndrome (RECQL2)		yes		"osteosarcoma, meningioma, other tumour types"	Werner syndrome
WT1	Wilms tumour 1 gene	yes	yes	"Wilms tumour, desmoplastic small round cell tumour"	Wilms tumour	"Denys-Drash syndrome, Frasier syndrome, familial Wilms tumour"
WWTR1	WW domain containing transcription regulator 1	yes		epithelioid haemangioendothelioma		
XPA	"xeroderma pigmentosum, complementation group A"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (A)
XPC	"xeroderma pigmentosum, complementation group C"		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (C)
XPO1	"exportin 1 (CRM1 homolog, yeast)"	yes		CLL		
YWHAE	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide (14-3-3 epsilon)"	yes		endometrial stromal sarcoma		
ZBTB16	zinc finger and BTB domain containing 16	yes		APL		
ZCCHC8	"zinc finger, CCHC domain containing 8"	yes		Spitzoid tumour		
ZEB1	zinc finger E-box binding homeobox 1	yes		"CCRCC, melanoma"		
ZFHX3	zinc finger homeobox 3	yes		"endometrial, gastric, prostate"		
ZMYM2	zinc finger protein 198	yes		"MPN, NHL"		
ZMYM3	zinc finger MYM-type containing 3	yes		"CRC, breast cancer"		
ZNF331	zinc finger protein 331	yes		follicular thyroid adenoma		
ZNF384	zinc finger protein 384 (CIZ/NMP4)	yes		ALL		
ZNF429	zinc finger protein 429	yes		GBM		
ZNF479	zinc finger protein 479	yes		"lung cancer, bladder carcinoma, prostate carcinoma"		
ZNF521	zinc finger protein 521	yes		ALL		
ZNRF3	zinc and ring finger 3	yes		"colorectal cancer, adrenocortical carcinoma, gastric cancer"		
ZRSR2	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"	yes		"MDS, CLL"		
